,_raw_vialsite,_raw_Reagent0,_raw_Reagent1,_raw_Reagent2,_raw_Reagent3,_raw_Reagent4,_raw_Reagent5,_raw_labwareID,_raw_crystalscore,_raw_reagent_0_chemicals_0_InChIKey,_raw_reagent_0_chemicals_0_actual_amount,_raw_reagent_0_chemicals_0_actual_amount_units,_raw_reagent_0_chemicals_0_nominal_amount,_raw_reagent_0_chemicals_0_nominal_amount_units,_raw_reagent_0_date,_raw_reagent_0_id,_raw_reagent_0_instructions_0_op,_raw_reagent_0_instructions_0_temperature,_raw_reagent_0_instructions_0_temperature_units,_raw_reagent_0_operator,_raw_reagent_1_chemicals_0_InChIKey,_raw_reagent_1_chemicals_0_actual_amount,_raw_reagent_1_chemicals_0_actual_amount_units,_raw_reagent_1_chemicals_0_nominal_amount,_raw_reagent_1_chemicals_0_nominal_amount_units,_raw_reagent_1_chemicals_1_InChIKey,_raw_reagent_1_chemicals_1_actual_amount,_raw_reagent_1_chemicals_1_actual_amount_units,_raw_reagent_1_chemicals_1_nominal_amount,_raw_reagent_1_chemicals_1_nominal_amount_units,_raw_reagent_1_chemicals_2_InChIKey,_raw_reagent_1_chemicals_2_actual_amount,_raw_reagent_1_chemicals_2_actual_amount_units,_raw_reagent_1_chemicals_2_nominal_amount,_raw_reagent_1_chemicals_2_nominal_amount_units,_raw_reagent_1_date,_raw_reagent_1_id,_raw_reagent_1_instructions_0_duration,_raw_reagent_1_instructions_0_duration_units,_raw_reagent_1_instructions_0_op,_raw_reagent_1_instructions_0_stir,_raw_reagent_1_instructions_0_stir_units,_raw_reagent_1_instructions_0_temperature,_raw_reagent_1_instructions_0_temperature_units,_raw_reagent_1_instructions_1_op,_raw_reagent_1_instructions_1_temperature,_raw_reagent_1_instructions_1_temperature_units,_raw_reagent_1_operator,_raw_reagent_2_chemicals_0_InChIKey,_raw_reagent_2_chemicals_0_actual_amount,_raw_reagent_2_chemicals_0_actual_amount_units,_raw_reagent_2_chemicals_0_nominal_amount,_raw_reagent_2_chemicals_0_nominal_amount_units,_raw_reagent_2_chemicals_1_InChIKey,_raw_reagent_2_chemicals_1_actual_amount,_raw_reagent_2_chemicals_1_actual_amount_units,_raw_reagent_2_chemicals_1_nominal_amount,_raw_reagent_2_chemicals_1_nominal_amount_units,_raw_reagent_2_chemicals_2_InChIKey,_raw_reagent_2_chemicals_2_actual_amount,_raw_reagent_2_chemicals_2_actual_amount_units,_raw_reagent_2_chemicals_2_nominal_amount,_raw_reagent_2_chemicals_2_nominal_amount_units,_raw_reagent_2_date,_raw_reagent_2_id,_raw_reagent_2_instructions_0_duration,_raw_reagent_2_instructions_0_duration_units,_raw_reagent_2_instructions_0_op,_raw_reagent_2_instructions_0_stir,_raw_reagent_2_instructions_0_stir_units,_raw_reagent_2_instructions_0_temperature,_raw_reagent_2_instructions_0_temperature_units,_raw_reagent_2_instructions_1_op,_raw_reagent_2_instructions_1_temperature,_raw_reagent_2_instructions_1_temperature_units,_raw_reagent_2_operator,_raw_reagent_3_chemicals_0_InChIKey,_raw_reagent_3_chemicals_0_actual_amount,_raw_reagent_3_chemicals_0_actual_amount_units,_raw_reagent_3_chemicals_0_nominal_amount,_raw_reagent_3_chemicals_0_nominal_amount_units,_raw_reagent_3_chemicals_1_InChIKey,_raw_reagent_3_chemicals_1_actual_amount,_raw_reagent_3_chemicals_1_actual_amount_units,_raw_reagent_3_chemicals_1_nominal_amount,_raw_reagent_3_chemicals_1_nominal_amount_units,_raw_reagent_3_chemicals_2_InChIKey,_raw_reagent_3_chemicals_2_actual_amount,_raw_reagent_3_chemicals_2_actual_amount_units,_raw_reagent_3_chemicals_2_nominal_amount,_raw_reagent_3_chemicals_2_nominal_amount_units,_raw_reagent_3_date,_raw_reagent_3_id,_raw_reagent_3_instructions_0_duration,_raw_reagent_3_instructions_0_duration_units,_raw_reagent_3_instructions_0_op,_raw_reagent_3_instructions_0_stir,_raw_reagent_3_instructions_0_stir_units,_raw_reagent_3_instructions_0_temperature,_raw_reagent_3_instructions_0_temperature_units,_raw_reagent_3_instructions_1_op,_raw_reagent_3_instructions_1_temperature,_raw_reagent_3_instructions_1_temperature_units,_raw_reagent_3_operator,_raw_reagent_4_chemicals_0_InChIKey,_raw_reagent_4_chemicals_0_actual_amount,_raw_reagent_4_chemicals_0_actual_amount_units,_raw_reagent_4_chemicals_0_nominal_amount,_raw_reagent_4_chemicals_0_nominal_amount_units,_raw_reagent_4_date,_raw_reagent_4_id,_raw_reagent_4_instructions_0_op,_raw_reagent_4_instructions_0_temperature,_raw_reagent_4_instructions_0_temperature_units,_raw_reagent_4_operator,_raw_reagent_5_chemicals_0_InChIKey,_raw_reagent_5_chemicals_0_actual_amount,_raw_reagent_5_chemicals_0_actual_amount_units,_raw_reagent_5_chemicals_0_nominal_amount,_raw_reagent_5_chemicals_0_nominal_amount_units,_raw_reagent_5_date,_raw_reagent_5_id,_raw_reagent_5_instructions_0_op,_raw_reagent_5_instructions_0_temperature,_raw_reagent_5_instructions_0_temperature_units,_raw_reagent_5_operator,_raw_ExpVer,_raw_GenVer,_raw_datecreated,_raw_jobserial,_raw_lab,_raw_operator,_raw_timecreated_UTC,_raw_Temperature (C),_raw_Stir Rate (rpm),_raw_Mixing time1 (s),_raw_Mixing time2 (s),_raw_Reaction time (s)
0,A1,167,333,0,0,62,0,Symyx_96_well_0003,1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,6.7255,gram,18,milliliter,2017-10-16,1,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.4473,gram,12.4473,gram,2017-10-16,2,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,gram,18,gram,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,24.89,gram,24.89,gram,2017-10-16,3,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,13.45,gram,13.45,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.45,gram,12.447,gram,null,4,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,null,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,5,heat,22,celsius,Liana Alves,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,6,heat,22,celsius,Liana Alves,0,0,2017-10-16,2017-10-16T17_52_59.000000+00_00_LBL,LBL,Liana Alves,17_52_59,82.0,500.0,900.0,1200.0,0.0
1,C1,167,333,0,0,55,55,Symyx_96_well_0003,1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,6.7255,gram,18,milliliter,2017-10-16,1,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.4473,gram,12.4473,gram,2017-10-16,2,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,gram,18,gram,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,24.89,gram,24.89,gram,2017-10-16,3,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,13.45,gram,13.45,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.45,gram,12.447,gram,null,4,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,null,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,5,heat,22,celsius,Liana Alves,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,6,heat,22,celsius,Liana Alves,0,0,2017-10-16,2017-10-16T17_52_59.000000+00_00_LBL,LBL,Liana Alves,17_52_59,82.0,500.0,900.0,1200.0,0.0
2,E1,167,333,0,0,39,39,Symyx_96_well_0003,1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,6.7255,gram,18,milliliter,2017-10-16,1,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.4473,gram,12.4473,gram,2017-10-16,2,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,gram,18,gram,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,24.89,gram,24.89,gram,2017-10-16,3,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,13.45,gram,13.45,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.45,gram,12.447,gram,null,4,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,null,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,5,heat,22,celsius,Liana Alves,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,6,heat,22,celsius,Liana Alves,0,0,2017-10-16,2017-10-16T17_52_59.000000+00_00_LBL,LBL,Liana Alves,17_52_59,82.0,500.0,900.0,1200.0,0.0
3,G1,167,333,0,0,39,39,Symyx_96_well_0003,1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,6.7255,gram,18,milliliter,2017-10-16,1,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.4473,gram,12.4473,gram,2017-10-16,2,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,gram,18,gram,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,24.89,gram,24.89,gram,2017-10-16,3,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,13.45,gram,13.45,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.45,gram,12.447,gram,null,4,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,null,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,5,heat,22,celsius,Liana Alves,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,6,heat,22,celsius,Liana Alves,0,0,2017-10-16,2017-10-16T17_52_59.000000+00_00_LBL,LBL,Liana Alves,17_52_59,82.0,500.0,900.0,1200.0,0.0
4,B1,167,333,0,0,55,55,Symyx_96_well_0003,1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,6.7255,gram,18,milliliter,2017-10-16,1,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.4473,gram,12.4473,gram,2017-10-16,2,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,gram,18,gram,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,24.89,gram,24.89,gram,2017-10-16,3,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,13.45,gram,13.45,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.45,gram,12.447,gram,null,4,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,null,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,5,heat,22,celsius,Liana Alves,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,6,heat,22,celsius,Liana Alves,0,0,2017-10-16,2017-10-16T17_52_59.000000+00_00_LBL,LBL,Liana Alves,17_52_59,82.0,500.0,900.0,1200.0,0.0
5,D1,167,333,0,0,47,47,Symyx_96_well_0003,1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,6.7255,gram,18,milliliter,2017-10-16,1,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.4473,gram,12.4473,gram,2017-10-16,2,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,gram,18,gram,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,24.89,gram,24.89,gram,2017-10-16,3,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,13.45,gram,13.45,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.45,gram,12.447,gram,null,4,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,null,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,5,heat,22,celsius,Liana Alves,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,6,heat,22,celsius,Liana Alves,0,0,2017-10-16,2017-10-16T17_52_59.000000+00_00_LBL,LBL,Liana Alves,17_52_59,82.0,500.0,900.0,1200.0,0.0
6,F1,167,333,0,0,47,47,Symyx_96_well_0003,1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,6.7255,gram,18,milliliter,2017-10-16,1,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.4473,gram,12.4473,gram,2017-10-16,2,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,gram,18,gram,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,24.89,gram,24.89,gram,2017-10-16,3,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,13.45,gram,13.45,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.45,gram,12.447,gram,null,4,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,null,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,5,heat,22,celsius,Liana Alves,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,6,heat,22,celsius,Liana Alves,0,0,2017-10-16,2017-10-16T17_52_59.000000+00_00_LBL,LBL,Liana Alves,17_52_59,82.0,500.0,900.0,1200.0,0.0
7,H1,167,333,0,0,62,62,Symyx_96_well_0003,1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,6.7255,gram,18,milliliter,2017-10-16,1,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.4473,gram,12.4473,gram,2017-10-16,2,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,gram,18,gram,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,24.89,gram,24.89,gram,2017-10-16,3,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,13.45,gram,13.45,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.45,gram,12.447,gram,null,4,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,null,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,5,heat,22,celsius,Liana Alves,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,6,heat,22,celsius,Liana Alves,0,0,2017-10-16,2017-10-16T17_52_59.000000+00_00_LBL,LBL,Liana Alves,17_52_59,82.0,500.0,900.0,1200.0,0.0
8,A2,167,333,0,0,62,0,Symyx_96_well_0003,1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,6.7255,gram,18,milliliter,2017-10-16,1,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.4473,gram,12.4473,gram,2017-10-16,2,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,gram,18,gram,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,24.89,gram,24.89,gram,2017-10-16,3,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,13.45,gram,13.45,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.45,gram,12.447,gram,null,4,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,null,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,5,heat,22,celsius,Liana Alves,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,6,heat,22,celsius,Liana Alves,0,0,2017-10-16,2017-10-16T17_52_59.000000+00_00_LBL,LBL,Liana Alves,17_52_59,82.0,500.0,900.0,1200.0,0.0
9,C2,167,333,0,0,55,55,Symyx_96_well_0003,1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,6.7255,gram,18,milliliter,2017-10-16,1,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.4473,gram,12.4473,gram,2017-10-16,2,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,gram,18,gram,UPHCENSIMPJEIS-UHFFFAOYSA-N,6.7255,gram,6.7255,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,24.89,gram,24.89,gram,2017-10-16,3,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,Liana Alves,YEJRWHAVMIAJKC-UHFFFAOYSA-N,18,milliliter,18,milliliter,UPHCENSIMPJEIS-UHFFFAOYSA-N,13.45,gram,13.45,gram,RQQRAHKHDFPBMC-UHFFFAOYSA-L,12.45,gram,12.447,gram,null,4,2700,second,heatstir,450,rpm,70,celsius,heat,22,celsius,null,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,5,heat,22,celsius,Liana Alves,BDAGIHXWWSANSR-UHFFFAOYSA-N,12,milliliter,12,milliliter,2017-10-16,6,heat,22,celsius,Liana Alves,0,0,2017-10-16,2017-10-16T17_52_59.000000+00_00_LBL,LBL,Liana Alves,17_52_59,82.0,500.0,900.0,1200.0,0.0
