InChiKey,smiles,new_smiles,standardized_smiles,_prototype_ringcountBOOL,_prototype_aromaticBOOL,_prototype_AmineSitesINT,_prototype_PrimarySitesBOOL,_prototype_SecondarySitesBOOL,_prototype_TertiarySitesBOOL,_prototype_ImminiumSitesBOOL,_prototype_heteroatomINT
UPHCENSIMPJEIS-UHFFFAOYSA-N,C1=CC=C(C=C1)CC[NH3+].[I-],[NH3+]CCc1ccccc1,[NH3+]CCC1=CC=CC=C1,1,1,1,1,0,0,0,1
CALQKRVFTWDYDG-UHFFFAOYSA-N,CCCC[NH3+].[I-],CCCC[NH3+],CCCC[NH3+],0,0,1,1,0,0,0,1
XFYICZOIWSBQSK-UHFFFAOYSA-N,CC[NH3+].[I-],,CC[NH3+],0,0,1,1,0,0,0,1
LLWRXQXPJMPHLR-UHFFFAOYSA-N,C[NH3+].[I-],,C[NH3+],0,0,1,1,0,0,0,1
UUDRLGYROXTISK-UHFFFAOYSA-N,C(=[NH2+])(N)N.[I-],NC(N)=[NH2+],NC(N)=[NH2+],0,0,1,0,0,0,1,3
GGYGJCFIYJVWIP-UHFFFAOYSA-N,CC(=[NH2+])N.[I-],CC(N)=[NH2+],CC(N)=[NH2+],0,0,1,0,0,0,1,2
QHJPGANWSLEMTI-UHFFFAOYSA-N,C(=N)[NH3+].[I-],,[NH3+]C=N,0,0,1,1,0,0,0,2
JBOIAZWJIACNJF-UHFFFAOYSA-N,C1=CN=C[NH2+]1.[I-],C1=C[NH2+]C=N1,[NH2+]1C=CN=C1,1,1,1,0,1,0,0,2
PPCHYMCMRUGLHR-UHFFFAOYSA-N,C1=CC=C(C=C1)C[NH3+].[I-],[NH3+]Cc1ccccc1,[NH3+]CC1=CC=CC=C1,1,1,1,1,0,0,0,1
CQWGDVVCKBJLNX-UHFFFAOYSA-N,[I-].CC(C)(C)C[NH3+],CC(C)(C)C[NH3+],CC(C)(C)C[NH3+],0,0,1,1,0,0,0,1
VMLAEGAAHIIWJX-UHFFFAOYSA-N,CC(C)[NH3+].[I-],CC(C)[NH3+],CC(C)[NH3+],0,0,1,1,0,0,0,1
FCTHQYIDLRRROX-UHFFFAOYSA-N,[I-].CC(C)C[NH3+],CC(C)C[NH3+],CC(C)C[NH3+],0,0,1,1,0,0,0,1
JMXLWMIFDJCGBV-UHFFFAOYSA-N,C[NH2+]C.[I-],,C[NH2+]C,0,0,1,0,1,0,0,1
PXWSKGXEHZHFJA-UHFFFAOYSA-N,[I-].CCCCCCCCCCCC[NH3+],CCCCCCCCCCCC[NH3+],CCCCCCCCCCCC[NH3+],0,0,1,1,0,0,0,1
DMFMZFFIQRMJQZ-UHFFFAOYSA-N,C1CC[NH2+]C1.[I-],C1CC[NH2+]C1,C1CC[NH2+]C1,1,0,1,0,1,0,0,1
IWNWLPUNKAYUAW-UHFFFAOYSA-N,C(C[NH3+])[NH3+].[I-].[I-],[NH3+]CC[NH3+],[NH3+]CC[NH3+],0,0,2,1,0,0,0,2
QRFXELVDJSDWHX-UHFFFAOYSA-N,C1(=CC=C(C=C1)OC)[NH3+].[I-],COc1ccc([NH3+])cc1,COC1=CC=C([NH3+])C=C1,1,1,1,1,0,0,0,2
UMDDLGMCNFAZDX-UHFFFAOYSA-O,[NH3+]CCC[NH3+].[I-].[I-],[NH3+]CCC[NH3+],[NH3+]CCC[NH3+],0,0,2,1,0,0,0,2
GIAPQOZCVIEHNY-UHFFFAOYSA-N,[I-].[NH3+]CCC,CCC[NH3+],CCC[NH3+],0,0,1,1,0,0,0,1
UZHWWTHDRVLCJU-UHFFFAOYSA-N,CC(CC[NH3+])C.[I-],CC(C)CC[NH3+],CC(C)CC[NH3+],0,0,1,1,0,0,0,1
NOHLSFNWSBZSBW-UHFFFAOYSA-N,C1(=CC=C(C=C1)F)CC[NH3+].[I-],[NH3+]CCc1ccc(F)cc1,[NH3+]CCC1=CC=C(F)C=C1,1,1,1,1,0,0,0,1
FJFIJIDZQADKEE-UHFFFAOYSA-N,C1(=CC=C(C=C1)F)[NH3+].[I-],[NH3+]c1ccc(F)cc1,[NH3+]C1=CC=C(F)C=C1,1,1,1,1,0,0,0,1
SQXJHWOXNLTOOO-UHFFFAOYSA-N,C1(=CC=C(C=C1)C(F)(F)F)C[NH3+].[I-],[NH3+]Cc1ccc(C(F)(F)F)cc1,[NH3+]CC1=CC=C(C=C1)C(F)(F)F,1,1,1,1,0,0,0,1
KOAGKPNEVYEZDU-UHFFFAOYSA-N,C1(=CC=C(C=C1)C(F)(F)F)[NH3+].[I-],[NH3+]c1ccc(C(F)(F)F)cc1,[NH3+]C1=CC=C(C=C1)C(F)(F)F,1,1,1,1,0,0,0,1
UXYJHTKQEFCXBJ-UHFFFAOYSA-N,C(CC(C)(C)[NH3+])(C)(C)C.[I-],CC(C)(C)CC(C)(C)[NH3+],CC(C)(C)CC(C)(C)[NH3+],0,0,1,1,0,0,0,1
KFQARYBEAKAXIC-UHFFFAOYSA-N,C1=CC=C(C=C1)[NH3+].[I-],[NH3+]c1ccccc1,[NH3+]C1=CC=CC=C1,1,1,1,1,0,0,0,1
NLJDBTZLVTWXRG-UHFFFAOYSA-N,CC(C)(C)[NH3+].[I-],CC(C)(C)[NH3+],CC(C)(C)[NH3+],0,0,1,1,0,0,0,1
LCTUISCIGMWMAT-UHFFFAOYSA-N,C1(=CC=C(C=C1)F)C[NH3+].[I-],[NH3+]Cc1ccc(F)cc1,[NH3+]CC1=CC=C(F)C=C1,1,1,1,1,0,0,0,2
WGYRINYTHSORGH-UHFFFAOYSA-N,C1CCC(CC1)[NH3+].[I-],[NH3+]C1CCCCC1,[NH3+]C1CCCCC1,1,0,1,1,0,0,0,1
