_raw_inchikey,_raw_smiles,_raw_molweight,_raw_smiles_standard,_raw_standard_molweight,_prototype_ECPF4_256_6,_feat_AtomCount_C,_feat_AtomCount_N,_feat_AvgPol,_feat_MolPol,_feat_Refractivity,_feat_AliphaticRingCount,_feat_AromaticRingCount,_feat_Aliphatic AtomCount,_feat_AromaticAtomCount,_feat_BondCount,_feat_CarboaliphaticRingCount,_feat_CarboaromaticRingCount,_feat_CarboRingCount,_feat_ChainAtomCount,_feat_ChiralCenterCount,_feat_RingAtomCount,_feat_SmallestRingSize,_feat_LargestRingSize,_feat_HeteroaliphaticRingCount,_feat_HeteroaromaticRing Count,_feat_RotatableBondCount,_feat_BalabanIndex,_feat_CyclomaticNumber,_feat_HyperWienerIndex,_feat_WienerIndex,_feat_WienerPolarity,_feat_MinimalProjectionArea,_feat_MaximalProjectionArea,_feat_MinimalProjectionRadius,_feat_MaximalProjectionRadius,_feat_LengthPerpendicularToTheMinArea,_feat_LengthPerpendicularToTheMaxArea,_feat_VanderWaalsVolume,_feat_VanderWaalsSurfaceArea,_feat_ASA,_feat_ASA+,_feat_ASA-,_feat_ASA_H,_feat_ASA_P,_feat_PolarSurfaceArea,_feat_acceptorcount,_feat_Accsitecount,_feat_donorcount,_feat_donsitecount,_feat_fr_NH2,_feat_fr_NH1,_feat_fr_NH0,_feat_fr_quatN,_feat_fr_ArN,_feat_fr_Ar_NH,_feat_fr_Imine,_feat_fr_amidine,_feat_fr_dihydropyridine,_feat_fr_guanido,_feat_fr_piperdine,_feat_fr_piperzine,_feat_fr_pyridine,_feat_maximalprojectionsize,_feat_minimalprojectionsize,_feat_molsurfaceareaVDWp,_feat_msareaVDWp,_feat_molsurfaceareaASAp,_feat_msareaASAp,_feat_ProtPolarSurfaceArea,_feat_Protpsa,_feat_Hacceptorcount,_feat_Hdonorcount,_feat_charge_cnt,_calc_chrg_per_vol,_calc_chrg_per_asa-
YEJRWHAVMIAJKC-UHFFFAOYSA-N,C1CC(=O)OC1,86.09,O=C1CCCO1,86.090,0100000000000000000000000000000000010000000000000100001000000000000000000000010000000000000010000010000000000000000000000000010010000000001000000000100000000000000000000000000000001000000000000000000000000000000000001000100000000000000000010000000000000000,4,0,8.23,8.18,20.31,1,0,6,0,12,0,0,0,1,0,5,5,5,1,0,0,2.18,1,39,26,2,20.06,28.53,2.89,3.53,6.86,5.13,78.73,139.79,241.21,164.22,76.99,179.16,62.05,26.3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,6.86,139.79,139.79,164.22,164.22,26.3,26.3,1,0,0,0,0
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,78.13,CS(C)=O,78.130,0000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000,2,0,7.91,8.04,20.73,0,0,4,0,9,0,0,0,4,0,0,0,0,0,0,0,2.32,0,12,9,0,20.63,28.1,3.1,3.56,7.1,5,72.67,133.65,258.32,144.36,113.96,216.28,42.04,17.07,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.1,133.65,133.65,144.36,144.36,17.07,17.07,1,0,0,0,0
BDAGIHXWWSANSR-UHFFFAOYSA-N,C(=O)O,46.03,OC=O,46.025,0000000000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000,1,0,3.37,3.26,8.15,0,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,1.63,0,5,4,0,11.21,17.53,2.34,2.65,5.19,3.33,39.21,65.19,175.41,79.88,95.53,33.63,141.79,37.3,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,5.19,65.19,65.19,79.88,79.88,37.3,37.3,2,1,0,0,0
RQQRAHKHDFPBMC-UHFFFAOYSA-L,I[Pb]I,461.01,I[Pb]I,461.000,0000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000010000000000000,0,0,13.13,19.84,26.68,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,1.63,0,5,4,0,14.52,34.25,2.44,4.83,9.59,4,92.06,125.02,288.32,80.79,207.53,0,288.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9.59,125.02,125.02,80.79,80.79,0,0,0,0,0,0,0
XFYICZOIWSBQSK-UHFFFAOYSA-N,CC[NH3+].[I-],173.00,CC[NH3+],46.092,0000110000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000,2,1,6.09,5.88,25.96,0,0,3,0,10,0,0,0,3,0,0,0,0,0,0,0,1.63,0,5,4,0,17.09,22.85,2.59,3.3,6.59,5.17,59.49,112.02,215.57,154.04,61.53,164.65,50.92,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.17,6.59,112.02,112.02,154.04,154.04,27.64,27.64,0,1,1,0.016809548,0.016252235
LLWRXQXPJMPHLR-UHFFFAOYSA-N,C[NH3+].[I-],158.97,C[NH3+],32.065,0000010000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,4.23,4.04,21.21,0,0,2,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,13.88,17.05,2.33,2.67,4.81,5.08,42.58,81.16,191.44,136.92,54.52,129.54,61.9,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.08,4.81,81.16,81.16,136.92,136.92,27.64,27.64,0,1,1,0.023485204,0.018341893
UPHCENSIMPJEIS-UHFFFAOYSA-N,C1=CC=C(C=C1)CC[NH3+].[I-],249.10,[NH3+]CCC1=CC=CC=C1,122.190,0001000000000000000000100100010000110000000000000000000110000000000100000000000000000000000010000000000000000000000010010000000000000001001000000000000000100000010000000000000000000000000010000000001000000000000000000000010000000000000000000000100010000000,8,1,14.69,15.43,50.58,0,1,3,6,21,0,1,1,3,0,6,6,6,0,0,2,1.85,1,203,94,8,24.96,46.76,3.37,5.03,10.13,5.96,130.2,217.67,304.55,218.15,86.4,256.14,48.41,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.96,10.13,217.67,217.67,218.15,218.15,27.64,27.64,0,1,1,0.007680492,0.011574074
GGYGJCFIYJVWIP-UHFFFAOYSA-N,CC(=[NH2+])N.[I-],185.97,CC(N)=[NH2+],59.091,0000010010000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000010000001000000000000000000000000000000000000000000000000000,2,2,6.58,6.57,27.86,0,0,4,0,10,0,0,0,4,0,0,0,0,0,0,0,2.32,0,12,9,0,17.01,26.37,3.14,3.23,6.02,4.26,62.84,110.9,212.36,172.93,39.44,139.66,72.7,51.61,1,1,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,4.26,6.02,110.9,110.9,172.93,172.93,51.61,51.61,1,2,1,0.015913431,0.02535497
CALQKRVFTWDYDG-UHFFFAOYSA-N,CCCC[NH3+].[I-],201.05,CCCC[NH3+],74.146,1000110000000000000000000000000000010001000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000010000000,4,1,10,9.57,35.09,0,0,5,0,16,0,0,0,5,0,0,0,0,0,0,2,2.19,0,35,20,2,18.77,34.38,2.69,4.57,9.15,5.42,93.45,173.44,273.98,202.99,70.99,225.09,48.89,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.42,9.15,173.44,173.44,202.99,202.99,27.64,27.64,0,1,1,0.01070091,0.014086491
UUDRLGYROXTISK-UHFFFAOYSA-N,C(=[NH2+])(N)N.[I-],186.98,NC(N)=[NH2+],60.079,0000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000,1,3,5.94,5.89,26.66,0,0,4,0,9,0,0,0,4,0,0,0,0,0,0,0,2.32,0,12,9,0,15.91,25.66,3.01,3.14,6.29,3.59,57.06,95.68,185.35,120.89,64.46,69.53,115.82,77.63,2,2,3,6,3,0,0,0,0,0,0,0,0,1,0,0,0,3.59,6.29,95.68,95.68,120.89,120.89,77.63,77.63,2,3,1,0.017525412,0.015513497
