"Solvent","InChIKey","Volume","δd","δp","δh","δt"
"Entity[""Chemical"", ""1,1,1Trichloroethane""]","UOCLXMDMGBRAIB-UHFFFAOYSA-N","Quantity[100.4, ""Centimeters""^3/""Moles""]","Quantity[17., Sqrt[""Megapascals""]]","Quantity[4.3, Sqrt[""Megapascals""]]","Quantity[2., Sqrt[""Megapascals""]]","Quantity[17.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,1,2,2Tetrachloroethane""]","QPFMBZIOSGYJDE-UHFFFAOYSA-N","Quantity[105.2, ""Centimeters""^3/""Moles""]","Quantity[18.8, Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[9.4, Sqrt[""Megapascals""]]","Quantity[21.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,1Dichloroethane""]","SCYULBFZEHDVBN-UHFFFAOYSA-N","Quantity[84.8, ""Centimeters""^3/""Moles""]","Quantity[16.6, Sqrt[""Megapascals""]]","Quantity[8.2, Sqrt[""Megapascals""]]","Quantity[0.4, Sqrt[""Megapascals""]]","Quantity[18.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,1Dichloroethylene""]","LGXVIGDEPROXKC-UHFFFAOYSA-N","Quantity[79., ""Centimeters""^3/""Moles""]","Quantity[17., Sqrt[""Megapascals""]]","Quantity[6.8, Sqrt[""Megapascals""]]","Quantity[4.5, Sqrt[""Megapascals""]]","Quantity[18.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,2,3,4Tetrahydronaphthalene""]","CXWXQJXEFPUFDZ-UHFFFAOYSA-N","Quantity[136., ""Centimeters""^3/""Moles""]","Quantity[19.6, Sqrt[""Megapascals""]]","Quantity[2., Sqrt[""Megapascals""]]","Quantity[2.9, Sqrt[""Megapascals""]]","Quantity[20., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,2Dibromoethane""]","PAAZPARNPHGIKF-UHFFFAOYSA-N","Quantity[87., ""Centimeters""^3/""Moles""]","Quantity[19.6, Sqrt[""Megapascals""]]","Quantity[6.8, Sqrt[""Megapascals""]]","Quantity[12.1, Sqrt[""Megapascals""]]","Quantity[23.9, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,2Dichlorobenzene""]","RFFLAFLAYFXFSW-UHFFFAOYSA-N","Quantity[112.8, ""Centimeters""^3/""Moles""]","Quantity[19.2, Sqrt[""Megapascals""]]","Quantity[6.3, Sqrt[""Megapascals""]]","Quantity[3.3, Sqrt[""Megapascals""]]","Quantity[20.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,2Dichloroethane""]","WSLDOOZREJYCGB-UHFFFAOYSA-N","Quantity[79.4, ""Centimeters""^3/""Moles""]","Quantity[19., Sqrt[""Megapascals""]]","Quantity[7.4, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[20.9, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,3Dimethylcyclohexane""]","SGVUHPSBDNVHKL-UHFFFAOYSA-N","Quantity[140., ""Centimeters""^3/""Moles""]","Quantity[16.1, Sqrt[""Megapascals""]]","Quantity[0., Sqrt[""Megapascals""]]","Quantity[1.1, Sqrt[""Megapascals""]]","Quantity[16.13753388842298, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,3Dioxolane""]","WNXJIVFYUVYPPR-UHFFFAOYSA-N","Quantity[69.9, ""Centimeters""^3/""Moles""]","Quantity[18.1, Sqrt[""Megapascals""]]","Quantity[6.6, Sqrt[""Megapascals""]]","Quantity[9.3, Sqrt[""Megapascals""]]","Quantity[21.392989505910577, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,4Diethylbenzene""]","DSNHSQKRULAAEI-UHFFFAOYSA-N","Quantity[156.9, ""Centimeters""^3/""Moles""]","Quantity[18., Sqrt[""Megapascals""]]","Quantity[0., Sqrt[""Megapascals""]]","Quantity[0.6, Sqrt[""Megapascals""]]","Quantity[18., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1,4Dioxane""]","RYHBNJHYFVUHQT-UHFFFAOYSA-N","Quantity[85.7, ""Centimeters""^3/""Moles""]","Quantity[19., Sqrt[""Megapascals""]]","Quantity[1.8, Sqrt[""Megapascals""]]","Quantity[7.4, Sqrt[""Megapascals""]]","Quantity[20.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1Butanol""]","LRHPLDYGYMQRHN-UHFFFAOYSA-N","Quantity[91.5, ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[23.1, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1Chlorobutane""]","VFWCMGCRMGJXDK-UHFFFAOYSA-N","Quantity[104.9, ""Centimeters""^3/""Moles""]","Quantity[16.4, Sqrt[""Megapascals""]]","Quantity[5.5, Sqrt[""Megapascals""]]","Quantity[2., Sqrt[""Megapascals""]]","Quantity[17.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1Chloropropane""]","SNMVRZFUUCLYTO-UHFFFAOYSA-N","Quantity[88.1, ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[7.8, Sqrt[""Megapascals""]]","Quantity[2., Sqrt[""Megapascals""]]","Quantity[17.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1Decanol""]","MWKFXSUHUHTGQN-UHFFFAOYSA-N","Quantity[191.8, ""Centimeters""^3/""Moles""]","Quantity[17.6, Sqrt[""Megapascals""]]","Quantity[2.7, Sqrt[""Megapascals""]]","Quantity[10., Sqrt[""Megapascals""]]","Quantity[20.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1Methoxy2Propanol""]","ARXJGSRGQADJSQ-UHFFFAOYSA-N","Quantity[98.2, ""Centimeters""^3/""Moles""]","Quantity[15.6, Sqrt[""Megapascals""]]","Quantity[6.3, Sqrt[""Megapascals""]]","Quantity[11.6, Sqrt[""Megapascals""]]","Quantity[20.435508312738392, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1Methyl2Pyrrolidinone""]","SECXISVLQFMRJM-UHFFFAOYSA-N","Quantity[96.6, ""Centimeters""^3/""Moles""]","Quantity[18., Sqrt[""Megapascals""]]","Quantity[12.3, Sqrt[""Megapascals""]]","Quantity[7.2, Sqrt[""Megapascals""]]","Quantity[22.95931183637698, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""1Methylnaphthalene""]","QPUYECUOLPXSFR-UHFFFAOYSA-N","Quantity[138.8, ""Centimeters""^3/""Moles""]","Quantity[20.6, Sqrt[""Megapascals""]]","Quantity[0.8, Sqrt[""Megapascals""]]","Quantity[4.7, Sqrt[""Megapascals""]]","Quantity[21.2, Sqrt[""Megapascals""]]"
